-0.332241,0.0593512,0.392556,2.21693,2.20916,0.0491453
-0.332226,0.282079,0.392541,1.98541,1.99111,-0.374079
-0.332224,-0.271985,0.392521,-1.91981,-1.89642,-0.587177
-0.609246,0.0675848,0.392537,1.86739,1.86025,0.601043
-0.142082,0.10038,0.392532,-1.96213,-1.97573,0.46647
-0.142083,0.100371,0.39253,-2.119,-2.00913,0.280701
-0.320868,0.109215,0.392514,2.15625,2.13172,-0.159888
-0.320868,0.0206202,0.392524,2.21716,2.19878,0.0218321
-0.320863,0.179218,0.39251,2.12384,2.11043,-0.163986
-0.358241,0.179217,0.392533,2.21619,1.87729,-0.129631
-0.381862,0.14867,0.392547,2.17126,2.02718,-0.00754398
-0.381857,-0.0191913,0.392508,-2.16088,-2.24878,-0.306315
-0.389698,-0.105481,0.392532,-2.24514,-2.1214,-0.456723
-0.419567,-0.105475,0.480442,2.42817,1.93021,0.459535
-0.419561,-0.105475,0.480458,-1.85361,-2.41538,-0.439809
-0.419556,-0.122722,0.480449,-2.45911,-1.89048,-0.429536
-0.419547,-0.266696,0.480452,-2.0114,-1.71904,-0.973791
-0.419552,-0.0422162,0.480457,2.27177,2.06212,0.622242
-0.419562,0.0194297,0.480485,2.19646,2.11537,0.299854
-0.424874,0.335798,0.480469,1.75118,1.65278,-0.478339
-0.424864,0.335809,0.480469,2.12344,1.90092,-0.022286
-0.42487,0.0958185,0.480439,1.78813,2.22054,0.0457916
-0.584928,0.094052,0.480454,1.82273,1.82872,0.426438
-0.584936,0.0940806,0.480429,2.0302,1.55541,0.32619
-0.584918,-0.0808856,0.480444,1.50842,2.39765,0.668926
-0.0367306,-0.358324,0.480437,-1.68444,-1.6298,-0.12758
-0.0367316,-0.187038,0.480443,-1.52781,-1.84862,-0.123002
-0.25627,0.0512496,0.536151,-2.16921,-2.20408,0.149529
-0.256264,0.0512542,0.536152,-1.61589,-2.6634,0.162833
-0.204128,0.101654,0.536141,-2.56929,-1.68775,0.13054
-0.20413,0.223987,0.536125,2.55057,1.38103,-0.432144
-0.281763,0.237181,0.653797,-2.41397,-1.97765,0.0312481
-0.28175,-0.191574,0.656898,-2.10394,-2.28138,0.0161148
-0.281761,0.0259301,0.771265,-2.10835,-2.28539,0.026175
-0.281792,0.0259502,0.771249,-1.72162,-2.35172,-0.328205
